StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q31,Q34,Q1,Q3,Q9,Q11,Q6,Q23,Q22,Q22_4_TEXT,Q24,Q7,Q7_4_TEXT,Q4,Q5,Q5_4_TEXT,Q36,Q38,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q48,Q52,Q53,Q54,Q55,rid,gender,ethnicity,education,region,age,hhi,hispanic,political_party,zip,Group
11/13/2018 11:54,11/13/2018 13:07,IP Address,208.185.213.250,100,4401,TRUE,11/13/2018 13:07,R_2uBSdpCyXaJZIXU,,,,,38.88360596,-77.13950348,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$150,000 or more",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,Other,"Washington Post, NY Times, WSJ",Central,Independent,,Almost Never,Never,Almost Never,Fairly Often,Fairly Often,Very Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Almost Never,Sometimes,Fairly Often,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 13:06,11/13/2018 13:13,IP Address,75.136.247.66,100,439,TRUE,11/13/2018 13:13,R_2fp5AHwYCO89VSG,,,,,35.44689941,-79.13800049,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$20,000 to $29,999",Weekly,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,Fox News,,Right leaning,Republican,,Almost Never,Almost Never,Sometimes,Fairly Often,Fairly Often,Fairly Often,Almost Never,Almost Never,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Almost Never,,,,,,35,,,,,Placebo
11/13/2018 13:12,11/13/2018 13:15,IP Address,38.68.203.107,100,227,TRUE,11/13/2018 13:15,R_2YbKTptdAA1slCb,,,,,37.75100708,-97.8219986,anonymous,EN,Currently living in the United States of America,,31-40,Female,"Professional degree (JD, MD)","$150,000 or more",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Fox News,Reuters,CNN",,Central,Independent,,Sometimes,Almost Never,Fairly Often,Very Often,Fairly Often,Very Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Almost Never,Sometimes,Almost Never,Never,,,,,,35,,,,,Placebo
11/13/2018 13:14,11/13/2018 13:21,IP Address,172.56.3.214,100,399,TRUE,11/13/2018 13:21,R_3Em3oEiV8hmVIvS,,,,,38.95129395,-76.89579773,anonymous,EN,Currently living in the United States of America,,51-60,Female,Associate degree in college (2-year),"$100,000 to $149,999",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.)",,Rarely,"Fox News,Reuters",,Right leaning,Democrat,,Almost Never,Almost Never,Sometimes,Very Often,Very Often,Very Often,Sometimes,Almost Never,Fairly Often,Fairly Often,Almost Never,Fairly Often,Almost Never,Sometimes,,,,,,55,,,,,Treatment
11/13/2018 13:17,11/13/2018 13:23,IP Address,73.132.63.190,100,314,TRUE,11/13/2018 13:23,R_3iEh3mNKmexOV6P,,,,,39.27709961,-77.85630035,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast",,,,Fox News,,Central,Republican,,Never,Never,Almost Never,Fairly Often,Fairly Often,Very Often,Very Often,Almost Never,Sometimes,Fairly Often,Almost Never,Sometimes,Fairly Often,Never,,,,,,35,,,,,Placebo
11/13/2018 13:28,11/13/2018 13:31,IP Address,72.34.133.250,100,172,TRUE,11/13/2018 13:31,R_6Jy1WrUHW5yEJPj,,,,,38.34820557,-121.9537964,anonymous,EN,Currently living in the United States of America,,31-40,Male,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.)",,Sometimes,Other,NPR,Left leaning,Democrat,,Sometimes,Almost Never,Almost Never,Fairly Often,Fairly Often,Sometimes,Very Often,Very Often,Sometimes,Almost Never,Sometimes,Fairly Often,Sometimes,Sometimes,,,,,,35,,,,,Control
11/13/2018 13:28,11/13/2018 13:33,IP Address,67.180.9.104,100,267,TRUE,11/13/2018 13:33,R_2rpubfq6ymCFRbP,,,,,37.43960571,-122.1864014,anonymous,EN,Currently living in the United States of America,,41-50,"Do not identify as female, male, or transgender",Doctoral degree,"$30,000 to $39,999",Multiple times per day,"Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,Other,NPR,Left leaning,Independent,,Sometimes,Sometimes,Fairly Often,Very Often,Fairly Often,Sometimes,Fairly Often,Almost Never,Fairly Often,Fairly Often,Very Often,Very Often,Fairly Often,Sometimes,,,,,,45,,,,,Control
11/13/2018 13:29,11/13/2018 13:33,IP Address,76.115.207.46,100,260,TRUE,11/13/2018 13:33,R_ANGIlRKJo00YCd3,,,,,45.45799255,-122.7073975,anonymous,EN,Currently living in the United States of America,,41-50,Male,Master's degree,"$150,000 or more",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.)",,Rarely,"Reuters,CNN,Other","Huffington Post, Politico",Left leaning,Democrat,,Almost Never,Almost Never,Almost Never,Very Often,Very Often,Very Often,Very Often,Never,Very Often,Very Often,Sometimes,Very Often,Very Often,Never,,,,,,45,,,,,Control
11/13/2018 13:33,11/13/2018 13:38,IP Address,65.219.205.122,100,300,TRUE,11/13/2018 13:38,R_23ekuA8yJz3InXH,,,,,40.74429321,-73.97810364,anonymous,EN,Currently living in the United States of America,,31-40,Male,Master's degree,"$100,000 to $149,999",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.),Other",YouTube (Phillip de Franco),Sometimes,"Reuters,CNN,Other",Phillip de Franco (YouTube),Left leaning,Democrat,,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Very Often,Sometimes,Almost Never,Fairly Often,Fairly Often,Almost Never,Fairly Often,Sometimes,Almost Never,,,,,,35,,,,,Placebo
11/13/2018 13:41,11/13/2018 13:42,IP Address,95.91.232.195,100,37,TRUE,11/13/2018 13:42,R_2aPHn54QP6VUsQt,,,,,48.1013031,11.40480042,anonymous,EN,Currently living outside of the United States of America,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,
11/13/2018 13:40,11/13/2018 13:46,IP Address,174.207.3.144,100,336,TRUE,11/13/2018 13:46,R_e2MACj8J30RRPQl,,,,,32.01989746,-102.1475983,anonymous,EN,Currently living in the United States of America,,31-40,Male,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Online Media,Word of Mouth","Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN,Other",Guardian,Left leaning,Democrat,,Almost Never,Never,Sometimes,Very Often,Very Often,Very Often,Very Often,Never,Very Often,Very Often,Never,Sometimes,Very Often,Never,,,,,,35,,,,,Placebo
11/13/2018 13:47,11/13/2018 13:47,IP Address,50.99.159.249,100,11,TRUE,11/13/2018 13:47,R_3R9m7anSi205yey,,,,,50.98989868,-114.157402,anonymous,EN,Currently living outside of the United States of America,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,
11/13/2018 13:42,11/13/2018 13:49,IP Address,204.128.192.33,100,417,TRUE,11/13/2018 13:49,R_vBumKXqCgeOjW6Z,,,,,34.17160034,-118.2899017,anonymous,EN,Currently living in the United States of America,,21-30,Male,Bachelor's degree in college (4-year),"$100,000 to $149,999",Daily,"Online Media,Word of Mouth","Through social media (Facebook, LinkedIn, etc.)",,Rarely,CNN,,Central,Democrat,,Sometimes,Fairly Often,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Sometimes,,,,,,25,,,,,Treatment
11/13/2018 13:47,11/13/2018 13:50,IP Address,64.135.105.209,100,191,TRUE,11/13/2018 13:50,R_10YuzCuAseJY5vu,,,,,26.93389893,-80.12010193,anonymous,EN,Currently living in the United States of America,,41-50,Male,Master's degree,"$150,000 or more",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,Other,none,Right leaning,Republican,,Never,Never,Almost Never,Very Often,Very Often,Very Often,Fairly Often,Almost Never,Very Often,Fairly Often,Almost Never,Very Often,Fairly Often,Almost Never,,,,,,45,,,,,Control
11/13/2018 13:53,11/13/2018 14:00,IP Address,96.241.108.29,100,400,TRUE,11/13/2018 14:00,R_1MQBbglJql3Y3eD,,,,,38.95770264,-77.60379791,anonymous,EN,Currently living in the United States of America,,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Daily,Online Media,"Through an aggregator (Google News, The Skimm, etc.)",,Sometimes,CNN,,Central,Other,Moderate,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Almost Never,Fairly Often,Fairly Often,Fairly Often,Sometimes,,,,,,45,,,,,Treatment
11/13/2018 14:04,11/13/2018 14:13,IP Address,209.196.198.39,100,563,TRUE,11/13/2018 14:13,R_3m7WaRez2e30Le2,,,,,38.92019653,-77.03749847,anonymous,EN,Currently living in the United States of America,,41-50,Male,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Never,"Reuters,CNN,Other","Washington Post, NYTimes, BBC",Left leaning,Independent,,Almost Never,Never,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Never,Fairly Often,Fairly Often,Almost Never,Sometimes,Fairly Often,Almost Never,,,,,,45,,,,,Placebo
11/13/2018 14:10,11/13/2018 14:14,IP Address,96.231.210.215,100,249,TRUE,11/13/2018 14:14,R_23UkmrIDHrZb1lw,,,,,39.01420593,-77.52850342,anonymous,EN,Currently living in the United States of America,,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Daily,"Television broadcast,Online Media,Word of Mouth","Through social media (Facebook, LinkedIn, etc.)",,Sometimes,CNN,,Right leaning,Republican,,Sometimes,Fairly Often,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Sometimes,Fairly Often,Sometimes,Very Often,Fairly Often,Almost Never,,,,,,45,,,,,Placebo
11/13/2018 14:13,11/13/2018 14:15,IP Address,131.107.160.144,100,152,TRUE,11/13/2018 14:15,R_R39MzJIh0cnHOLv,,,,,47.67399597,-122.1214981,anonymous,EN,Currently living in the United States of America,,41-50,Male,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN",,Left leaning,Democrat,,Very Often,Very Often,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Very Often,Fairly Often,Very Often,,,,,,45,,,,,Placebo
11/13/2018 14:09,11/13/2018 14:15,IP Address,162.211.160.186,100,360,TRUE,11/13/2018 14:15,R_1cTh6OG1Rtn6u3o,,,,,38.91439819,-77.0739975,anonymous,EN,Currently living in the United States of America,,41-50,Male,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.)",,Rarely,Other,"Vox, Atlantic Monthly, Washington Post",Left leaning,Independent,,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Fairly Often,Very Often,Sometimes,Fairly Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 14:18,11/13/2018 14:25,IP Address,71.163.46.13,100,432,TRUE,11/13/2018 14:25,R_CgKhUadp4kQ4BDX,,,,,38.95770264,-77.60379791,anonymous,EN,Currently living in the United States of America,,41-50,Female,High school graduate (high school diploma or equivalent including GED),"$150,000 or more",Daily,"Television broadcast,Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,CNN,Other",,Left leaning,Democrat,,Sometimes,Sometimes,Almost Never,Fairly Often,Fairly Often,Fairly Often,Very Often,Sometimes,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Control
11/13/2018 14:26,11/13/2018 14:28,IP Address,166.94.13.76,100,134,TRUE,11/13/2018 14:28,R_uqWdzXGYchOKIxz,,,,,38.87759399,-77.3884964,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$150,000 or more",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,CNN,,Left leaning,Democrat,,Sometimes,Almost Never,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 14:30,11/13/2018 14:36,IP Address,109.91.38.173,100,350,TRUE,11/13/2018 14:36,R_3ESG41KANhJkQUQ,,,,,50.20730591,8.57749939,anonymous,EN,Currently living outside of the United States of America,Yes,41-50,Female,Some college but no degree,"$150,000 or more",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.)",,Rarely,CNN,,Left leaning,Democrat,,Almost Never,Almost Never,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Almost Never,Fairly Often,Fairly Often,Very Often,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Control
11/13/2018 14:35,11/13/2018 14:40,IP Address,96.241.146.65,100,322,TRUE,11/13/2018 14:40,R_28BSNNwESwZVOD1,,,,,38.95770264,-77.60379791,anonymous,EN,Currently living in the United States of America,,41-50,Female,Some college but no degree,"$100,000 to $149,999",Multiple times per day,Online Media,"Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,Other",,Left leaning,Democrat,,Sometimes,Almost Never,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Placebo
11/13/2018 14:59,11/13/2018 15:00,IP Address,88.153.62.232,100,74,TRUE,11/13/2018 15:00,R_1gbyKXXshZErkVr,,,,,50.20730591,8.57749939,anonymous,EN,Currently living outside of the United States of America,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,
11/13/2018 14:59,11/13/2018 15:04,IP Address,70.164.58.66,100,255,TRUE,11/13/2018 15:04,R_2BkydFf55SXhIrf,,,,,36.09759521,-95.92279816,anonymous,EN,Currently living in the United States of America,,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Daily,"Television broadcast,Online Media","Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN",,Right leaning,Democrat,,Almost Never,Almost Never,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Sometimes,Almost Never,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 15:08,11/13/2018 15:18,IP Address,95.223.32.254,100,625,TRUE,11/13/2018 15:18,R_3NQiPyS3fjUy1t6,,,,,50.14329529,8.571105957,anonymous,EN,Currently living outside of the United States of America,Yes,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Daily,"Television broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,Fox News,,Right leaning,Republican,,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Almost Never,Very Often,Sometimes,Sometimes,Fairly Often,Fairly Often,Never,,,,,,45,,,,,Placebo
11/13/2018 15:20,11/13/2018 15:25,IP Address,73.171.116.202,100,318,TRUE,11/13/2018 15:25,R_7850sqXHfTj9jMJ,,,,,39.18209839,-77.5358963,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$100,000 to $149,999",Multiple times per day,"Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,CNN,,Left leaning,Democrat,,Very Often,Very Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Very Often,Sometimes,Almost Never,Fairly Often,Fairly Often,Sometimes,Fairly Often,,,,,,45,,,,,Placebo
11/13/2018 14:03,11/13/2018 15:29,IP Address,67.180.82.105,100,5123,TRUE,11/13/2018 15:29,R_3me4THNaCAf5rjm,,,,,37.65739441,-122.4235001,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$150,000 or more",Multiple times per day,"Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,CNN,Other","Atlantic, NTY, WSJ",Left leaning,Democrat,,Fairly Often,Very Often,Very Often,Fairly Often,Sometimes,Sometimes,Sometimes,Very Often,Almost Never,Almost Never,Fairly Often,Very Often,Sometimes,Very Often,,,,,,45,,,,,Placebo
11/13/2018 15:23,11/13/2018 15:29,IP Address,174.203.17.62,100,350,TRUE,11/13/2018 15:29,R_ABQ8OPzjRqC4ZvH,,,,,40.77630615,-73.95290375,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,Other",CBS,Left leaning,Independent,,Almost Never,Almost Never,Sometimes,Fairly Often,Almost Never,Fairly Often,Sometimes,Sometimes,Very Often,Almost Never,Never,Fairly Often,Sometimes,Almost Never,,,,,,35,,,,,Treatment
11/13/2018 15:24,11/13/2018 15:30,IP Address,12.106.179.162,100,342,TRUE,11/13/2018 15:30,R_Xk56R5gH85FFrfH,,,,,41.87980652,-87.62850189,anonymous,EN,Currently living in the United States of America,,21-30,Male,Bachelor's degree in college (4-year),"$90,000 to $99,999",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,Other,NPR,Left leaning,Democrat,,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Almost Never,Almost Never,Sometimes,Almost Never,Sometimes,Fairly Often,Fairly Often,Sometimes,Fairly Often,,,,,,25,,,,,Placebo
11/13/2018 15:15,11/13/2018 15:30,IP Address,172.58.184.202,100,886,TRUE,11/13/2018 15:30,R_31afKrSVou8qBzs,,,,,38.89019775,-76.93759918,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$150,000 or more",Multiple times per day,Radio broadcast,,,,CNN,,Left leaning,Democrat,,Very Often,Almost Never,Sometimes,Very Often,Very Often,Very Often,Very Often,Almost Never,Very Often,Fairly Often,Fairly Often,Very Often,Very Often,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 15:26,11/13/2018 15:31,IP Address,109.91.37.18,100,294,TRUE,11/13/2018 15:31,R_1eXo8UyafrxufDG,,,,,50.07730103,8.242401123,anonymous,EN,Currently living outside of the United States of America,Yes,31-40,Female,Master's degree,"$150,000 or more",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,Other",Washington Post,Left leaning,Independent,,Sometimes,Sometimes,Sometimes,Fairly Often,Very Often,Fairly Often,Very Often,Never,Sometimes,Fairly Often,Sometimes,Fairly Often,Sometimes,Almost Never,,,,,,35,,,,,Treatment
11/13/2018 15:37,11/13/2018 15:43,IP Address,12.27.99.37,100,354,TRUE,11/13/2018 15:43,R_1GCYewL0u7lh4sw,,,,,37.78640747,-122.3891983,anonymous,EN,Currently living in the United States of America,,31-40,Male,Master's degree,"$150,000 or more",Multiple times per day,"Radio broadcast,Online Media","Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.),Other","I listen to numerous podcasts on politics and news in general that are direct news sources, but generally don't go directly to a news site.",Sometimes,"Fox News,Reuters,CNN",,Left leaning,Other,"Still a registered democrat, but feeling more turned off by the party as I get older and the party is pushing for more ideological purity as the Republicans started doing about 15 years ago.",Never,Never,Never,Very Often,Very Often,Very Often,Very Often,Never,Very Often,Very Often,Never,Fairly Often,Very Often,Never,,,,,,35,,,,,Control
11/13/2018 15:46,11/13/2018 15:50,IP Address,66.171.37.121,100,214,TRUE,11/13/2018 15:50,R_RklvtM2xrmfqkLf,,,,,38.9066925,-77.03119659,anonymous,EN,Currently living in the United States of America,,41-50,Female,Bachelor's degree in college (4-year),"$80,000 to $89,999",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,CNN",,Left leaning,Democrat,,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Fairly Often,Fairly Often,Very Often,Very Often,Very Often,Sometimes,Fairly Often,Very Often,Almost Never,,,,,,45,,,,,Control
11/13/2018 15:44,11/13/2018 15:50,IP Address,99.203.17.25,100,366,TRUE,11/13/2018 15:50,R_20Ms2jGtKpctqUj,,,,,39.30929565,-76.66989899,anonymous,EN,Currently living in the United States of America,,31-40,Female,"Professional degree (JD, MD)","$150,000 or more",Daily,"Television broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN",,Left leaning,Democrat,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,35,,,,,Treatment
11/13/2018 15:50,11/13/2018 15:56,IP Address,173.54.118.228,100,333,TRUE,11/13/2018 15:56,R_1oqjMIOWl2mNIrc,,,,,40.69520569,-74.2677002,anonymous,EN,Currently living in the United States of America,,31-40,Female,Master's degree,"$150,000 or more",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,Other",,Left leaning,Democrat,,Sometimes,Almost Never,Almost Never,Very Often,Fairly Often,Very Often,Fairly Often,Never,Fairly Often,Very Often,Sometimes,Fairly Often,Fairly Often,Never,,,,,,35,,,,,Treatment
11/13/2018 16:01,11/13/2018 16:06,IP Address,173.66.54.156,100,325,TRUE,11/13/2018 16:06,R_33kXcstVg8Qr4HD,,,,,38.89759827,-77.50920105,anonymous,EN,Currently living in the United States of America,,31-40,Female,Master's degree,"$70,000 to $79,999",Monthly,"Online Media,Word of Mouth","Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,Other,None,Left leaning,Democrat,,Sometimes,Fairly Often,Very Often,Very Often,Fairly Often,Fairly Often,Sometimes,Never,Fairly Often,Fairly Often,Sometimes,Almost Never,Fairly Often,Almost Never,,,,,,35,,,,,Placebo
11/13/2018 16:05,11/13/2018 16:09,IP Address,67.180.82.105,100,198,TRUE,11/13/2018 16:09,R_1obYz799M6vmlhM,,,,,37.65739441,-122.4235001,anonymous,EN,Currently living in the United States of America,,41-50,Male,Master's degree,"$150,000 or more",Daily,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.)",,Sometimes,CNN,,Left leaning,Democrat,,Sometimes,Almost Never,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Control
11/13/2018 16:06,11/13/2018 16:17,IP Address,173.73.55.161,100,649,TRUE,11/13/2018 16:17,R_1ogKYygmjyS8pTi,,,,,39.08399963,-77.06130219,anonymous,EN,Currently living in the United States of America,,Older than 60,Female,Some college but no degree,"$40,000 to $49,999",Multiple times per day,"Television broadcast,Online Media","Through social media (Facebook, LinkedIn, etc.)",,Sometimes,Other,MSNBC,Left leaning,Democrat,,Fairly Often,Sometimes,Sometimes,Fairly Often,Very Often,Fairly Often,Fairly Often,Almost Never,Sometimes,Fairly Often,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,65,,,,,Treatment
11/13/2018 16:15,11/13/2018 16:17,IP Address,108.48.2.129,100,152,TRUE,11/13/2018 16:17,R_3n2fYqE1z97EE98,,,,,38.81570435,-77.62159729,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$100,000 to $149,999",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Fox News,Reuters,CNN",,Central,Republican,,Fairly Often,Almost Never,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,35,,,,,Placebo
11/13/2018 15:12,11/13/2018 16:21,IP Address,108.68.127.156,100,4157,TRUE,11/13/2018 16:22,R_2qr6gHtcITIsjKG,,,,,37.62469482,-122.4290009,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN,Other",,Left leaning,Democrat,,Almost Never,Almost Never,Sometimes,Fairly Often,Fairly Often,Very Often,Very Often,Sometimes,Fairly Often,Sometimes,Sometimes,Very Often,Sometimes,Fairly Often,,,,,,35,,,,,Placebo
11/13/2018 16:19,11/13/2018 16:27,IP Address,70.106.203.39,100,493,TRUE,11/13/2018 16:27,R_1Eck1v0n7I8dK6G,,,,,39.01420593,-77.52850342,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$100,000 to $149,999",Daily,"Television broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,CNN,,Central,Democrat,,Sometimes,Never,Fairly Often,Fairly Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,,,,,,45,,,,,Control
